resp_no,branch,profess,gender,educatio,loy1_1,loy2_1,loy3_1,loy4_1,loy5_1,loy6_1,val1_1,val2_1,val3_1,sat1_1,sat2_1,sat3_1,sav_1,loans_1,long_1,age_1,income_1,CLV
1,1, ,1,2,7,2,4,7,7,7,10,10,10,7,7,10,100,52.90401425,12,29,3,3280.389824
2,5,1,1,4,7,5,4,4.376470588,7,7,10,10,10,7,7,10,99,52.90401425,12,33,2,5874.40198
3,2, ,2,2,7,7,7,4,7,7,10,10,10,7,7,10,50,100,12,54,2,2924.975083
4,4,3,1,3,4,4,4,4,4,5,5,5,5,6,6,8,70,52.90401425,24,59,4,17229.878
7,5, ,2,1,7,4,4,5,6,7,10,10,10,7,7,10,100,1,16,39,2,3855.064448
8,2,2,1,2,7,3,2,3,7,7,9,9,9,6,5,9,100,52.90401425,60,45.13924051,2,3260.774444
9,1, ,2,2,5,4,4,4,7,6,5,5,7,2,5,3,100,100,15,24,3,4183.373362
10,3,2,2,2,7,5,2,4,7,7,9,9,10,7,5.811797753,8.184135977,64.94316832,1,36,59,2,2610.752219
11,4,1,1, ,5,2,4,3,2,3,6,6,6,4,4,7,70,35,12,29,3,4492.618039
14,4,3,1,2,4,4,4,3,1,1,1,2,1,6,6,10,5,52.90401425,78,42,5,5248.592663
21,2, , ,2,7,4,5,4,6,6,8,7,9,8,5.811797753,8.184135977,95,1,30,45.13924051,4,4570.832293
23, , ,1,4,7,4,3,6,7,6,10,10,10,7,7,10,100,20,2,29,3,3689.9851
30,4,1,2,4,6,5,5,4,6,7,8,9,10,7,7,10,50,52.90401425,12,30,2,3821.591095
31,5,2,2,3,7,2,5,1,7,7,10,8,8,6,6,8,100,52.90401425,36,45.13924051,3,4785.308149
32,4,3,1,2,3,1,1,4,3,4,2,8,5,3,3,5,100,52.90401425,36,35,3,5161.685713
33,3, ,1,3,6,2,3,6,6,6,8,6,8,5,5,8,15,50,80,37,3,2535.548854
34,4,3,1,3,4,4,4,4,4,4,10,7,8,6,6,8,100,100,24,45.13924051,2,3293.572746
35,5,2,2,1,6,3,5,4,7,6,9,9,2,6,8,10,100,4,1,67,1,2669.335238
41,1,1,2,3,7,6,4,5,7,7,8,8,9,7,7,9,99,20,78,53,3,4749.328843
43,4,3,1,3,5,5,5,5,6.070773263,5,8,8,9,6,6,9,64.94316832,52.90401425,31.20780142,44,4,2795.748168
44,4, ,2,4,5,4,4,4,4,5,6,6,6,6,6,9,25,25,24,59,4,3387.808264
45,1,2,1,4,6,4,2,4,4,5,4,8,5,1,1,7,100,52.90401425,72,72,1,2795.748168
46,4,1,2,4,5,2,7,2,6,4,10,10,9,7,7,10,80,52.90401425,31.20780142,45.13924051,2,2873.561586
47,3,2,2,1,4,4,4,4,6,5,5,5,5,3,2,6,100,100,24,37,2,4739.510488
49,4,1,1,5,7,6,6,6,7,7,10,10,10,7,7,10,10,52.90401425,28,53,2,6374.241661
52,2,1,2,3,7,4,4,4,7,7,8,10,10,10,7,10,100,52.90401425,36,53,2,2795.748168
56,6,1,2,4,5,3,2,2,5,4,6,6,6,3,2,5,10,52.90401425,24,40,4,3911.626048
57,4,3,1,3,7,5,5,1,7,4,7,7,7,6,5,9,5,75,36,49,4,11817.78771
58,5,2,1,4,7,4,7,1,7,7,10,10,10,7,7,10,100,5,36,70,3,3085.648936
59,2,3,1,2,6,4,5,4,7,6,7,7,7,2,2,7,30,52.90401425,12,39,3,4387.544712
